x_coord,y_coord,visibility_count
691039.4257130085,5336120.859748492,0
691039.4257130085,5336130.859748492,0
691039.4257130085,5336140.859748492,0
691039.4257130085,5336150.859748492,0
691039.4257130085,5336160.859748492,0
691039.4257130085,5336170.859748492,0
691039.4257130085,5336180.859748492,0
691039.4257130085,5336190.859748492,0
691039.4257130085,5336200.859748492,0
691039.4257130085,5336210.859748492,0
691039.4257130085,5336220.859748492,0
691049.4257130085,5336060.859748492,0
691049.4257130085,5336070.859748492,0
691049.4257130085,5336080.859748492,0
691049.4257130085,5336090.859748492,0
691049.4257130085,5336100.859748492,0
691049.4257130085,5336110.859748492,0
691049.4257130085,5336120.859748492,0
691049.4257130085,5336130.859748492,0
691049.4257130085,5336140.859748492,0
691049.4257130085,5336150.859748492,0
691049.4257130085,5336160.859748492,0
691049.4257130085,5336170.859748492,0
691049.4257130085,5336180.859748492,0
691049.4257130085,5336190.859748492,0
691049.4257130085,5336200.859748492,0
691049.4257130085,5336210.859748492,0
691049.4257130085,5336220.859748492,0
691059.4257130085,5336060.859748492,0
691059.4257130085,5336070.859748492,0
691059.4257130085,5336080.859748492,0
691059.4257130085,5336090.859748492,0
691059.4257130085,5336100.859748492,0
691059.4257130085,5336110.859748492,0
691059.4257130085,5336120.859748492,0
691059.4257130085,5336130.859748492,0
691059.4257130085,5336140.859748492,0
691059.4257130085,5336150.859748492,0
691059.4257130085,5336160.859748492,0
691059.4257130085,5336170.859748492,0
691059.4257130085,5336180.859748492,0
691059.4257130085,5336190.859748492,0
691059.4257130085,5336200.859748492,0
691059.4257130085,5336210.859748492,0
691059.4257130085,5336220.859748492,0
691069.4257130085,5336060.859748492,0
691069.4257130085,5336070.859748492,0
691069.4257130085,5336080.859748492,0
691069.4257130085,5336090.859748492,0
691069.4257130085,5336100.859748492,0
691069.4257130085,5336110.859748492,0
691069.4257130085,5336120.859748492,0
691069.4257130085,5336130.859748492,0
691069.4257130085,5336140.859748492,0
691069.4257130085,5336150.859748492,0
691069.4257130085,5336160.859748492,0
691069.4257130085,5336170.859748492,0
691069.4257130085,5336180.859748492,0
691069.4257130085,5336190.859748492,0
691069.4257130085,5336200.859748492,0
691069.4257130085,5336210.859748492,0
691069.4257130085,5336220.859748492,0
691079.4257130085,5336060.859748492,0
691079.4257130085,5336070.859748492,0
691079.4257130085,5336080.859748492,0
691079.4257130085,5336090.859748492,0
691079.4257130085,5336100.859748492,0
691079.4257130085,5336110.859748492,0
691079.4257130085,5336120.859748492,0
691079.4257130085,5336130.859748492,0
691079.4257130085,5336140.859748492,0
691079.4257130085,5336150.859748492,0
691079.4257130085,5336160.859748492,0
691079.4257130085,5336170.859748492,0
691079.4257130085,5336180.859748492,0
691079.4257130085,5336190.859748492,0
691079.4257130085,5336200.859748492,0
691079.4257130085,5336210.859748492,0
691079.4257130085,5336220.859748492,0
691089.4257130085,5336060.859748492,0
691089.4257130085,5336070.859748492,0
691089.4257130085,5336080.859748492,0
691089.4257130085,5336090.859748492,0
691089.4257130085,5336100.859748492,0
691089.4257130085,5336110.859748492,0
691089.4257130085,5336120.859748492,0
691089.4257130085,5336130.859748492,0
691089.4257130085,5336140.859748492,0
691089.4257130085,5336150.859748492,0
691089.4257130085,5336160.859748492,0
691089.4257130085,5336170.859748492,0
691089.4257130085,5336180.859748492,0
691089.4257130085,5336190.859748492,0
691089.4257130085,5336200.859748492,0
691089.4257130085,5336210.859748492,0
691089.4257130085,5336220.859748492,0
691099.4257130085,5336060.859748492,0
691099.4257130085,5336070.859748492,0
691099.4257130085,5336080.859748492,0
691099.4257130085,5336090.859748492,0
691099.4257130085,5336100.859748492,0
691099.4257130085,5336110.859748492,0
691099.4257130085,5336120.859748492,0
691099.4257130085,5336130.859748492,0
691099.4257130085,5336140.859748492,0
691099.4257130085,5336150.859748492,0
691099.4257130085,5336160.859748492,0
691099.4257130085,5336170.859748492,0
691099.4257130085,5336180.859748492,0
691099.4257130085,5336190.859748492,0
691099.4257130085,5336200.859748492,0
691099.4257130085,5336210.859748492,0
691099.4257130085,5336220.859748492,0
691109.4257130085,5336060.859748492,0
691109.4257130085,5336070.859748492,0
691109.4257130085,5336080.859748492,0
691109.4257130085,5336090.859748492,0
691109.4257130085,5336100.859748492,0
691109.4257130085,5336110.859748492,0
691109.4257130085,5336120.859748492,0
691109.4257130085,5336130.859748492,0
691109.4257130085,5336140.859748492,0
691109.4257130085,5336150.859748492,0
691109.4257130085,5336160.859748492,0
691109.4257130085,5336170.859748492,0
691109.4257130085,5336180.859748492,0
691109.4257130085,5336190.859748492,0
691109.4257130085,5336200.859748492,0
691109.4257130085,5336210.859748492,0
691109.4257130085,5336220.859748492,0
691119.4257130085,5336060.859748492,0
691119.4257130085,5336070.859748492,0
691119.4257130085,5336080.859748492,0
691119.4257130085,5336090.859748492,0
691119.4257130085,5336100.859748492,0
691119.4257130085,5336110.859748492,0
691119.4257130085,5336120.859748492,0
691119.4257130085,5336130.859748492,0
691119.4257130085,5336140.859748492,0
691119.4257130085,5336150.859748492,0
691119.4257130085,5336160.859748492,0
691119.4257130085,5336170.859748492,0
691119.4257130085,5336180.859748492,0
691119.4257130085,5336190.859748492,0
691119.4257130085,5336200.859748492,0
691119.4257130085,5336210.859748492,0
691119.4257130085,5336220.859748492,0
691129.4257130085,5336060.859748492,0
691129.4257130085,5336070.859748492,0
691129.4257130085,5336080.859748492,0
691129.4257130085,5336090.859748492,0
691129.4257130085,5336100.859748492,0
691129.4257130085,5336110.859748492,0
691129.4257130085,5336120.859748492,0
691129.4257130085,5336130.859748492,0
691129.4257130085,5336140.859748492,0
691129.4257130085,5336150.859748492,0
691129.4257130085,5336160.859748492,0
691129.4257130085,5336170.859748492,0
691129.4257130085,5336180.859748492,0
691129.4257130085,5336190.859748492,0
691129.4257130085,5336200.859748492,0
691129.4257130085,5336210.859748492,0
691129.4257130085,5336220.859748492,0
691139.4257130085,5336060.859748492,0
691139.4257130085,5336070.859748492,0
691139.4257130085,5336080.859748492,0
691139.4257130085,5336090.859748492,0
691139.4257130085,5336100.859748492,0
691139.4257130085,5336110.859748492,0
691139.4257130085,5336120.859748492,0
691139.4257130085,5336130.859748492,0
691139.4257130085,5336140.859748492,0
691139.4257130085,5336150.859748492,0
691139.4257130085,5336160.859748492,0
691139.4257130085,5336170.859748492,0
691139.4257130085,5336180.859748492,0
691139.4257130085,5336190.859748492,0
691139.4257130085,5336200.859748492,0
691139.4257130085,5336210.859748492,0
691139.4257130085,5336220.859748492,0
691149.4257130085,5336060.859748492,0
691149.4257130085,5336070.859748492,0
691149.4257130085,5336080.859748492,0
691149.4257130085,5336090.859748492,0
691149.4257130085,5336100.859748492,0
691149.4257130085,5336110.859748492,0
691149.4257130085,5336120.859748492,0
691149.4257130085,5336130.859748492,0
691149.4257130085,5336140.859748492,0
691149.4257130085,5336150.859748492,0
691149.4257130085,5336160.859748492,0
691149.4257130085,5336170.859748492,0
691149.4257130085,5336180.859748492,0
691149.4257130085,5336190.859748492,0
691149.4257130085,5336200.859748492,0
691149.4257130085,5336210.859748492,0
691149.4257130085,5336220.859748492,0
691159.4257130085,5336060.859748492,0
691159.4257130085,5336070.859748492,0
691159.4257130085,5336080.859748492,0
691159.4257130085,5336090.859748492,0
691159.4257130085,5336100.859748492,0
691159.4257130085,5336110.859748492,0
691159.4257130085,5336120.859748492,0
691159.4257130085,5336130.859748492,0
691159.4257130085,5336140.859748492,0
691159.4257130085,5336150.859748492,0
691159.4257130085,5336160.859748492,0
691159.4257130085,5336170.859748492,0
691159.4257130085,5336180.859748492,0
691159.4257130085,5336190.859748492,0
691159.4257130085,5336200.859748492,0
691159.4257130085,5336210.859748492,0
691159.4257130085,5336220.859748492,0
691169.4257130085,5336060.859748492,0
691169.4257130085,5336070.859748492,0
691169.4257130085,5336080.859748492,0
691169.4257130085,5336090.859748492,0
691169.4257130085,5336100.859748492,0
691169.4257130085,5336110.859748492,0
691169.4257130085,5336120.859748492,0
691169.4257130085,5336130.859748492,0
691169.4257130085,5336140.859748492,0
691169.4257130085,5336150.859748492,0
691169.4257130085,5336160.859748492,0
691169.4257130085,5336170.859748492,0
691169.4257130085,5336180.859748492,0
691169.4257130085,5336190.859748492,0
691169.4257130085,5336200.859748492,0
691169.4257130085,5336210.859748492,0
691169.4257130085,5336220.859748492,0
691179.4257130085,5336060.859748492,0
691179.4257130085,5336070.859748492,0
691179.4257130085,5336080.859748492,0
691179.4257130085,5336090.859748492,0
691179.4257130085,5336100.859748492,0
691179.4257130085,5336110.859748492,0
691179.4257130085,5336120.859748492,0
691179.4257130085,5336130.859748492,0
691179.4257130085,5336140.859748492,0
691179.4257130085,5336150.859748492,0
691179.4257130085,5336160.859748492,0
691179.4257130085,5336170.859748492,0
691179.4257130085,5336180.859748492,0
691179.4257130085,5336190.859748492,0
691179.4257130085,5336200.859748492,0
691179.4257130085,5336210.859748492,0
691179.4257130085,5336220.859748492,0
691189.4257130085,5336060.859748492,0
691189.4257130085,5336070.859748492,0
691189.4257130085,5336080.859748492,0
691189.4257130085,5336090.859748492,0
691189.4257130085,5336100.859748492,0
691189.4257130085,5336110.859748492,0
691189.4257130085,5336120.859748492,0
691189.4257130085,5336130.859748492,0
691189.4257130085,5336140.859748492,0
691189.4257130085,5336150.859748492,0
691189.4257130085,5336160.859748492,0
691189.4257130085,5336170.859748492,0
691189.4257130085,5336180.859748492,0
691189.4257130085,5336190.859748492,0
691189.4257130085,5336200.859748492,0
691189.4257130085,5336210.859748492,0
691189.4257130085,5336220.859748492,0
691199.4257130085,5336060.859748492,0
691199.4257130085,5336070.859748492,0
691199.4257130085,5336080.859748492,0
691199.4257130085,5336090.859748492,0
691199.4257130085,5336100.859748492,0
691199.4257130085,5336110.859748492,0
691199.4257130085,5336120.859748492,0
691199.4257130085,5336130.859748492,0
691199.4257130085,5336140.859748492,0
691199.4257130085,5336150.859748492,0
691199.4257130085,5336160.859748492,0
691199.4257130085,5336170.859748492,0
691199.4257130085,5336180.859748492,0
691199.4257130085,5336190.859748492,0
691199.4257130085,5336200.859748492,0
691199.4257130085,5336210.859748492,0
691199.4257130085,5336220.859748492,0
691209.4257130085,5336060.859748492,0
691209.4257130085,5336070.859748492,0
691209.4257130085,5336080.859748492,0
691209.4257130085,5336090.859748492,0
691209.4257130085,5336100.859748492,0
691209.4257130085,5336110.859748492,0
691209.4257130085,5336120.859748492,0
691209.4257130085,5336130.859748492,0
691209.4257130085,5336140.859748492,0
691209.4257130085,5336150.859748492,0
691209.4257130085,5336160.859748492,0
691209.4257130085,5336170.859748492,0
691209.4257130085,5336180.859748492,0
691209.4257130085,5336190.859748492,0
691209.4257130085,5336200.859748492,0
691209.4257130085,5336210.859748492,0
691209.4257130085,5336220.859748492,0
691219.4257130085,5336060.859748492,0
691219.4257130085,5336070.859748492,0
691219.4257130085,5336080.859748492,0
691219.4257130085,5336090.859748492,0
691219.4257130085,5336100.859748492,0
691219.4257130085,5336110.859748492,0
691219.4257130085,5336120.859748492,0
691219.4257130085,5336130.859748492,0
691219.4257130085,5336140.859748492,0
691219.4257130085,5336150.859748492,0
691219.4257130085,5336160.859748492,0
691219.4257130085,5336170.859748492,0
691219.4257130085,5336180.859748492,0
691219.4257130085,5336190.859748492,0
691219.4257130085,5336200.859748492,0
691219.4257130085,5336210.859748492,0
691219.4257130085,5336220.859748492,0
